token,attribution,count
Bizarrely,0.7762095573656791,1
raucous,0.7639340054928306,1
Lefty,0.7621876984024549,1
bloodying,0.7596223939504958,1
scaremongering,0.7529343198845901,1
gimmick,0.7386609397581372,1
Sloganeering,0.7307837907596174,1
poison,0.7171051342408835,1
smuggles,0.6832602116784108,1
toothless,0.6801715918773797,1
gobbling,0.6704570232620973,1
fumbling,0.6612655691599053,1
shredded,0.6561281739882224,1
heartlessness,0.653120040517244,1
Drowned,0.6516223235642585,1
mongering,0.6491847050816456,1
heinous,0.6470311127099122,1
hawks,0.644184377840213,1
colossal,0.6416512152210241,1
untrammeled,0.6345621584758507,1
flippantly,0.6307105282328704,1
travesties,0.6301386775434032,1
horrifying,0.6296709318347571,1
Hysterical,0.6291398782483398,1
quackery,0.6265709775632909,1
rocket,0.6216136411673785,1
implosion,0.6181346872184207,1
unsurprisingly,0.6180649997121465,1
weird,0.6175053270032336,1
slamming,0.6166663654055891,1
bitterest,0.614372300726278,1
boasting,0.614198697045009,1
sandbag,0.613435579269918,1
Outraged,0.6133770719788697,1
freewheeling,0.6131605419222296,1
oozing,0.6090871543261872,1
spewed,0.601396909666132,1
mansplaining,0.6001092274393027,1
blasted,0.5970048335672277,11
ridiculed,0.5958212755356432,3
Kill,0.5920596287505845,1
boldly,0.5874074166653585,1
melting,0.5796134092178977,1
wingnut,0.5785698074210741,1
bloviated,0.5781895732339278,1
flouting,0.5745132879199415,1
dump,0.5672698372843384,1
boasted,0.5638953620141611,7
brasher,0.5636244920696313,1
fuming,0.5624516853622892,1
doomsayers,0.5570236058592112,1
squalid,0.5562959161797947,1
ripped,0.5542618600578022,3
egomaniacal,0.5534868676386582,1
scoffs,0.5520763413517936,1
spearheaded,0.5492446792269309,1
Racist,0.5484763353403354,1
rambled,0.5422151676465689,1
rampant,0.533558454018784,1
lukewarm,0.5318836023671456,1
apocalyptic,0.5306657206434926,2
sneer,0.5290698187635564,1
mighty,0.52596633404361,1
fearmongering,0.5250641797358568,1
costly,0.5235436521107516,1
eyebrow,0.5234407527798082,1
astronomical,0.5194925510106033,1
fated,0.5172099811005892,1
hated,0.5132387036301184,1
berated,0.5121661828806283,1
aficionados,0.5108400712451041,1
quaint,0.5076352798010341,1
cartoonish,0.5063482513054703,1
Chaotic,0.5062758646476658,1
worms,0.5054804149574657,1
Awful,0.5053532939364955,1
crappy,0.5033821121582138,1
hipsters,0.5018617821803246,1
fallacious,0.49850054277762423,1
bragged,0.4981155128052101,3
incendiary,0.49559699748904507,1
hyperbolic,0.489902732160338,1
bellicose,0.48768641993923967,2
begging,0.48655177736781635,1
Angry,0.4853062099050374,1
caught,0.4845855205727985,1
antisemitic,0.4844509106882238,3
lizard,0.4803258000416173,2
believing,0.476940664031319,1
disbeliever,0.4750290621614118,1
hellish,0.4707877905133208,1
wrenching,0.47032312541460586,1
spasm,0.4701190037806247,1
polluters,0.46998123472528175,1
intemperate,0.46873216954235136,1
poked,0.4629933403219472,1
gruesome,0.4626557855561743,2
doomed,0.4621273729304365,1
cruel,0.4618442700118828,2
whooping,0.4599788524363968,1
wreaks,0.45988147256365514,1
brazenly,0.45689105174413114,2
baselessly,0.4566172903812598,1
lefties,0.456279548407552,1
guzzling,0.45495767554437205,1
horrible,0.45351816756233043,1
steely,0.45026272286813745,1
whined,0.44994237757003663,2
love,0.44466625790668196,1
helplessly,0.4433311678786773,1
lied,0.4406650679592427,6
mercurial,0.43998448357969,1
belligerent,0.4379184231042717,1
crippled,0.43779770711782656,1
histrionics,0.4371989328275354,1
transphobic,0.4366180716848481,1
shill,0.4348602572598636,1
fantasy,0.4348368729565786,1
incoherent,0.43330911679857625,2
Cartoon,0.43279465388912824,1
walloped,0.43256397409044806,1
tit,0.4320763088229805,1
boasts,0.4320094713411133,1
shred,0.43136404741773454,1
Unbelievably,0.43134910243349495,1
maniac,0.4279910381593536,1
demagoguery,0.4264802326876066,2
superhero,0.42636359503385324,1
unfathomably,0.42611220146983403,1
roiled,0.4236037360193324,1
vested,0.423564639708333,1
Orwellian,0.4222030381238164,2
decrepit,0.4220390654873465,1
mobbing,0.4209576491081728,1
Hugely,0.4197022567724035,1
cronies,0.41899027417659523,2
villain,0.4179600790004076,1
brutal,0.4177118281749337,3
bloodied,0.4168272618768396,1
inflammatory,0.4167023039219653,2
persistently,0.4159177172380993,1
childishly,0.4146475027880944,1
punishes,0.4135338672354755,1
tanked,0.4128724492865772,1
propagandist,0.4089370431553105,1
stonewalling,0.4083866640021513,1
ranted,0.40692944157766137,1
assails,0.4067808318946714,1
barbaric,0.4058826388586938,1
regressive,0.4058104477661366,1
Trumpian,0.40575999215874503,2
humiliating,0.40574888523566843,1
sadists,0.4057230760730841,1
wreaking,0.40289932739714734,1
wreaked,0.4019287285432731,2
unleashing,0.4010656480326733,2
stingy,0.40075494576596266,2
scoffed,0.4002941868317364,1
explosive,0.3993521610340352,1
Ironically,0.39543623730586946,1
drip,0.39317427382359327,1
Quite,0.39237615215980925,2
egregious,0.3911583043946301,2
absurdly,0.39060314051510664,3
messy,0.3892973029745313,2
racy,0.3878041837460993,1
stonewalled,0.38775950673952053,2
wicked,0.38694487249034604,1
casually,0.3868729906368009,1
delusional,0.3864085038815494,1
wannabe,0.3838924387438319,3
dust,0.38258572187587253,1
beleaguered,0.38166871302429706,1
wistfully,0.3800482631207577,1
easy,0.3788046999727608,1
feigned,0.37729682917116536,1
unholy,0.37677106420023704,3
carnage,0.3759343900793528,1
hopelessly,0.3758148922465368,2
stubborn,0.37226209541881533,3
Mystery,0.37214572012425956,1
wartime,0.3718254949355095,1
fanatics,0.37157481005922655,4
secretive,0.3704037120680519,1
dashed,0.3700213106826864,2
wacky,0.3694777021454662,1
unabashed,0.36446816386905856,2
unbelievable,0.3641226685974935,1
xenophobic,0.3637276915510225,1
supremacism,0.3591366053555858,1
tepid,0.35809615251122306,2
whacks,0.35805728526133906,1
agitator,0.35758761838068104,1
sketchy,0.35591901413574867,1
bother,0.355348985306821,1
frigid,0.3551599798919612,2
astute,0.3542703686313017,1
motherless,0.35403107907349424,1
gaffes,0.35359637695122453,1
swipes,0.35350640283096707,1
ridicule,0.35345284062333443,2
Alarmingly,0.35337909055257155,1
whimpering,0.349743523758762,2
startling,0.34944851733189436,1
marauders,0.3492830880227735,1
hammered,0.3491048743047941,2
brag,0.34809047029349643,2
stripper,0.34611459420934226,1
sycophant,0.34570139210181644,1
fails,0.3453294272641132,1
victimized,0.3448355224490125,1
rudderless,0.34438670797744,1
pageantry,0.343120650141607,1
loves,0.34275790879170526,1
soulless,0.34274798968819803,1
perfidy,0.34232040261522084,1
tragically,0.34054260549674675,2
literate,0.34041838974956684,1
radicalism,0.3398281423552986,1
lashing,0.3396928543876448,1
creep,0.3396517052070783,1
unchecked,0.3394909626728404,1
flattery,0.3368143080094731,1
haphazard,0.3357123632509445,1
Madness,0.33538473288772425,1
squeezed,0.33520713348197095,1
impassioned,0.3337016096155608,1
dubious,0.333577673955574,4
grill,0.33330066748783244,1
cats,0.33299408530736696,1
vehemently,0.33221919915647946,2
Screwed,0.330702654398398,1
pointless,0.33066223125169136,3
sabotaging,0.32807050307383273,1
blindsided,0.3276060266851633,1
rampage,0.3269595534336251,1
spurn,0.32669481505737535,1
rosier,0.3253954456985015,1
bash,0.32379861094129,1
slammed,0.32350120022706874,16
Brotherhood,0.3229088188540632,1
fiefdom,0.32274399193862363,1
entitlement,0.32209583539123465,1
belated,0.3210365709730181,1
scathing,0.32060861237447563,4
falsely,0.3205657293091913,4
usurp,0.3191425712593173,1
foaming,0.3182038367130556,1
dictator,0.3170055889272762,3
alien,0.3168739975014703,4
veiled,0.3164271875375941,1
sterile,0.316292939335393,1
Bundys,0.3154755782444738,1
leftist,0.31401495767193816,17
blaring,0.3139787370920778,1
Marxists,0.31386962353754155,1
bickered,0.3128820477786803,1
errors,0.31196864689362486,1
racialist,0.31173590286932146,1
fetishise,0.31060339872487563,1
Billionaire,0.30945586619370274,1
globalist,0.3090403746887584,3
harshest,0.30813419072107745,1
ploy,0.3056509036131396,2
Curiously,0.3055640325254007,1
blazes,0.3051719102848926,1
Wunderkind,0.3047744676900114,1
Team,0.304710545016969,1
Biblical,0.3043388742347345,1
catastrophic,0.30405423792008296,1
mocked,0.30391445126065264,2
sympathetic,0.30366711814072594,3
greed,0.30311155304498766,2
recalcitrant,0.30285464054891564,1
ignominy,0.30263599324021156,1
grasping,0.30206076296378437,1
trutherism,0.29898053836554944,1
cares,0.29824614659938137,1
mouthed,0.2970457799699585,1
hammer,0.2966773100648207,1
felons,0.2963829525440993,2
benign,0.2958104570579532,1
contradicting,0.2957131089375358,1
brethren,0.2955656669566403,1
whining,0.29383332480285895,2
polluted,0.29357690972108097,1
unbearable,0.29356649432292214,1
spectacular,0.2933892690562551,1
Populist,0.2931308238846865,2
art,0.29002694698583165,1
corrupt,0.2898821453752471,2
lame,0.28921882192384457,2
usurped,0.28920606137612137,1
bizarre,0.2887198123846764,11
suddenly,0.28758306992489885,2
contradictory,0.28755523620633044,2
devastating,0.2869057278632171,3
evils,0.2868683908747487,2
assassination,0.2859209270930828,1
Abortionists,0.28567027695971203,1
ridiculous,0.28540915833259317,5
laughable,0.2851681693528955,1
Loony,0.2850220709951152,1
chilling,0.2834352586753881,1
billionaires,0.283136947186504,1
abominations,0.2828046954477223,1
shortsighted,0.2828043867627729,1
lunged,0.2827141205740695,1
grueling,0.28265807929456294,1
barb,0.2826234265850839,1
claiming,0.2821302454537729,32
megadonor,0.28191723251068257,1
weaponized,0.2812564964071732,1
warrior,0.28098778685874853,2
brainwashed,0.2804931604728592,1
Taliban,0.2803841922700083,2
fascism,0.27999765345250693,4
demonize,0.27968615399004765,3
nose,0.27914821946050034,1
unearthed,0.27890521555879055,1
indoctrinating,0.2785064558574114,2
virulent,0.2783326916625684,1
grotesque,0.27828370800995633,3
pathetic,0.27736667751424954,2
hostile,0.2764448045406225,5
pronouncement,0.2761158770018685,1
bragging,0.2748236045196288,6
Apparently,0.27472057446214215,1
fuck,0.2742153601425029,2
boundless,0.2737129190611601,1
migrant,0.2734664479634289,1
hostage,0.27329651072911826,3
confused,0.2732919796154755,2
Tedros,0.27312143758607565,1
secretly,0.2727885456797999,1
toasted,0.272764866838225,1
diarrhea,0.27272484962468946,1
claimed,0.27204565700762434,21
averse,0.27119378702640684,1
hysteric,0.2710912993785935,1
bungling,0.2709797080442583,3
pomp,0.27094355995493535,1
Typical,0.2709272436539309,1
master,0.27086653986784004,1
foolishly,0.27062360713569444,1
worker,0.27033476861146016,1
mess,0.2700578374254321,1
politicized,0.27001946207333305,1
magically,0.26988173250156333,1
Greek,0.26972279005251487,1
misleading,0.26957264688872373,2
catastrophe,0.2695346595916243,1
spluttering,0.2686872694841352,1
ludicrous,0.2684378641046396,1
freefall,0.26833236399836147,1
aggression,0.268287532335542,1
Notorious,0.26755976985921026,1
linguistic,0.26750870938212284,1
bullet,0.2673319043733305,1
Rush,0.26707937776146246,1
whitewashed,0.2668940797375172,2
suasion,0.2668515390268515,1
crackpot,0.266043002978059,1
Legions,0.2647189857076768,1
confusion,0.2647117176046715,1
